 ,Area,Mean,Min,Max,Circ.,AR,Round,Solidity
1,443,5088.156,3382,6816,0.881,1.104,0.906,0.934
2,290,4619.883,3409,6133,0.891,1.281,0.781,0.932
3,361,4412.784,3383,5794,0.821,1.118,0.894,0.914
4,466,4382.142,3382,5724,0.876,1.136,0.880,0.937
5,306,4510.882,3386,5891,0.887,1.165,0.858,0.930
6,273,4430.194,3389,5749,0.904,1.156,0.865,0.925
7,296,4181.993,3382,5296,0.828,1.193,0.838,0.926
8,273,6064.286,3384,8467,0.894,1.168,0.856,0.933
9,330,4862.188,3392,6202,0.923,1.141,0.877,0.936
10,293,4494.939,3416,6183,0.856,1.064,0.939,0.933
11,343,4498.510,3391,5672,0.905,1.121,0.892,0.927
12,259,3839.039,3385,5058,0.626,1.014,0.987,0.803
13,292,4224.247,3394,5295,0.891,1.144,0.874,0.930
14,287,3942.700,3391,4661,0.629,1.040,0.961,0.879
15,349,4078.968,3382,5266,0.758,1.121,0.892,0.911
16,390,4105.772,3384,5346,0.771,1.131,0.884,0.899
17,340,4505.462,3397,5513,0.867,1.202,0.832,0.934
18,320,4582.556,3393,5983,0.874,1.032,0.969,0.922
19,343,4770.362,3392,6624,0.905,1.133,0.883,0.933
20,298,4334.510,3384,5393,0.808,1.460,0.685,0.918
21,363,4735.433,3382,6502,0.905,1.040,0.961,0.947
22,267,4146.569,3382,5097,0.782,1.216,0.823,0.907
23,376,4569.388,3396,5912,0.907,1.124,0.889,0.938
24,488,8317.219,3391,14583,0.897,1.146,0.872,0.947
25,355,4710.524,3386,6531,0.885,1.312,0.762,0.939
26,433,5075.048,3385,6989,0.879,1.295,0.772,0.941
27,303,4219.046,3385,5172,0.863,1.173,0.853,0.922
28,347,4283.268,3388,5170,0.900,1.122,0.891,0.930
29,352,4830.378,3382,6525,0.892,1.296,0.771,0.939
30,487,4937.337,3396,7033,0.921,1.132,0.884,0.946
31,295,4478.603,3389,5624,0.877,1.137,0.879,0.926
32,294,4273.680,3383,5229,0.913,1.124,0.890,0.935
33,333,4341.670,3385,5602,0.858,1.089,0.918,0.925
34,259,4782.023,3383,7241,0.950,1.130,0.885,0.954
35,278,6641.496,3470,10128,0.896,1.195,0.837,0.922
36,308,4159.500,3391,5360,0.827,1.190,0.840,0.924
37,347,4123.006,3382,5144,0.722,1.155,0.866,0.904
38,356,5069.699,3384,6915,0.902,1.077,0.928,0.937
39,351,4171.923,3392,5436,0.764,1.144,0.874,0.898
40,341,4059.217,3383,5007,0.858,1.186,0.843,0.925
41,221,3910.905,3385,4976,0.620,1.023,0.978,0.820
42,299,4218.722,3383,5222,0.873,1.218,0.821,0.921
43,461,4930.902,3407,6473,0.917,1.153,0.867,0.947
44,494,5063.721,3390,7505,0.777,1.581,0.632,0.897
45,354,4534.545,3383,5780,0.891,1.124,0.889,0.939
46,291,4941.086,3384,6651,0.850,1.318,0.759,0.921
47,356,4549.101,3387,5908,0.896,1.217,0.822,0.933
48,409,4004.787,3386,4944,0.636,1.142,0.876,0.892
49,296,5991.956,3388,8402,0.910,1.093,0.915,0.932
50,275,3825.185,3382,4580,0.728,1.132,0.883,0.874
51,354,4400.220,3383,5908,0.775,1.278,0.783,0.912
52,375,4650.827,3410,6224,0.864,1.208,0.828,0.928
53,356,5204.289,3409,7204,0.887,1.243,0.805,0.934
54,421,5620.444,3390,7321,0.900,1.370,0.730,0.944
55,399,4334.145,3383,5553,0.761,1.219,0.820,0.902
56,454,5155.857,3390,6662,0.933,1.125,0.889,0.959
57,335,5944.448,3420,8046,0.915,1.056,0.947,0.932
58,321,5414.819,3440,7168,0.905,1.080,0.926,0.933
59,403,4587.521,3407,5876,0.920,1.182,0.846,0.956
60,236,5275.610,3427,7973,0.842,1.642,0.609,0.927
61,342,5437.266,3387,6973,0.947,1.072,0.933,0.954
62,325,4273.674,3412,5327,0.878,1.397,0.716,0.938
63,385,5553.431,3387,7513,0.882,1.372,0.729,0.934
64,307,5150.805,3429,6851,0.903,1.144,0.874,0.933
65,288,4314.656,3388,6052,0.786,1.446,0.692,0.913
66,346,4779.578,3390,6582,0.891,1.112,0.899,0.931
67,477,5646.623,3397,8142,0.921,1.204,0.830,0.947
68,357,4865.471,3398,6328,0.926,1.196,0.836,0.944
69,284,4103.465,3386,5358,0.703,1.457,0.686,0.899
70,241,4341.087,3405,5493,0.804,1.867,0.536,0.923
71,436,5415.087,3395,6991,0.924,1.012,0.988,0.949
72,340,4152.735,3386,5067,0.882,1.321,0.757,0.930
73,314,5788.029,3404,7765,0.934,1.232,0.812,0.944
74,334,4203.751,3393,5583,0.840,1.090,0.917,0.901
75,356,4331.225,3384,5529,0.820,1.196,0.836,0.915
76,302,4201.467,3382,5216,0.805,1.197,0.836,0.912
77,425,4068.911,3385,5300,0.762,1.124,0.890,0.910
78,259,6915.737,3388,9837,0.906,1.195,0.837,0.935
79,372,4864.172,3393,6751,0.852,1.125,0.889,0.921
80,421,5523.948,3386,7197,0.881,1.153,0.867,0.931
81,472,5582.752,3402,7628,0.875,1.224,0.817,0.947
82,256,4225.492,3387,5185,0.888,1.069,0.936,0.931
83,204,3880.172,3392,4602,0.629,1.303,0.767,0.850
84,377,4813.005,3395,6653,0.763,1.083,0.923,0.900
85,277,4375.022,3382,5423,0.925,1.314,0.761,0.942
86,337,5366.884,3407,7672,0.927,1.145,0.874,0.940
87,241,3995.017,3400,4903,0.674,1.762,0.568,0.862
88,316,4653.354,3384,6035,0.869,1.107,0.903,0.935
89,316,5719.022,3434,8380,0.930,1.098,0.911,0.946
90,472,5903.642,3468,7876,0.911,1.163,0.860,0.944
91,354,4719.650,3384,6228,0.903,1.138,0.879,0.934
92,389,4768.134,3411,6163,0.905,1.037,0.964,0.937
93,191,3713.990,3385,4270,0.555,1.163,0.860,0.840
94,375,4849.819,3387,6575,0.845,1.116,0.896,0.931
95,334,4237.491,3383,5453,0.808,1.185,0.844,0.919
96,280,4426.675,3393,5838,0.900,1.116,0.896,0.935
97,437,4416.838,3385,5630,0.804,1.228,0.814,0.903
98,358,6217.849,3400,9113,0.945,1.046,0.956,0.947
99,391,4328.205,3391,5213,0.928,1.091,0.917,0.947
100,273,4835.377,3396,5924,0.919,1.155,0.866,0.953
101,318,5476.374,3405,7928,0.912,1.081,0.925,0.934
102,462,5703.489,3397,8146,0.898,1.054,0.949,0.940
103,400,5739.408,3391,7755,0.902,1.042,0.959,0.933
104,409,5396.873,3386,7081,0.894,1.295,0.772,0.941
105,381,4624.635,3390,6004,0.845,1.204,0.830,0.928
106,360,4855.756,3390,6383,0.832,1.119,0.894,0.923
107,244,4487.545,3385,6289,0.840,1.665,0.601,0.912
108,387,5159.537,3392,7561,0.900,1.096,0.913,0.937
109,318,4515.075,3401,6313,0.912,1.152,0.868,0.933
110,410,4720.441,3383,6451,0.817,1.219,0.820,0.914
111,357,4218.711,3383,5669,0.770,1.091,0.916,0.904
112,237,4052.046,3385,4949,0.731,1.275,0.784,0.896
113,253,4620.447,3402,5773,0.928,1.200,0.833,0.944
114,260,4153.935,3391,4926,0.808,1.232,0.812,0.915
115,403,4659.238,3396,5942,0.900,1.249,0.801,0.939
116,337,5898.131,3404,8543,0.927,1.261,0.793,0.945
117,376,5185.585,3389,6654,0.928,1.020,0.980,0.954
118,268,4493.601,3383,5859,0.653,2.179,0.459,0.887
119,429,4359.056,3382,6062,0.923,1.084,0.922,0.946
120,329,4857.495,3392,6494,0.927,1.041,0.961,0.945
121,365,5678.066,3382,7516,0.938,1.124,0.890,0.955
122,460,4583.109,3394,6225,0.934,1.091,0.916,0.948
123,240,4373.875,3401,5629,0.801,1.699,0.589,0.920
124,476,7507.431,3393,11092,0.901,1.287,0.777,0.944
125,353,5644.116,3411,7630,0.894,1.154,0.866,0.931
126,259,3874.560,3387,4868,0.751,1.653,0.605,0.909
127,392,4772.969,3383,6351,0.889,1.139,0.878,0.936
128,347,5298.496,3417,7019,0.954,1.138,0.879,0.952
129,348,4637.589,3393,5821,0.888,1.258,0.795,0.933
130,280,4321.100,3415,5848,0.803,1.567,0.638,0.899
131,321,6163.421,3385,9764,0.905,1.212,0.825,0.937
132,181,3996.972,3382,5099,0.736,1.248,0.801,0.883
133,428,5325.811,3396,6997,0.921,1.259,0.794,0.953
134,159,5647.340,3382,9092,0.887,1.345,0.744,0.927
135,220,3751.750,3386,4370,0.717,1.353,0.739,0.880
136,259,4256.131,3382,5369,0.762,1.816,0.551,0.912
137,277,4552.375,3397,6030,0.925,1.303,0.767,0.941
138,378,5326.471,3402,7637,0.914,1.113,0.899,0.944
139,278,4314.986,3386,5427,0.820,1.058,0.945,0.914
140,387,5990.274,3383,9579,0.781,1.290,0.775,0.923
141,276,4536.221,3396,6134,0.904,1.285,0.778,0.936
142,336,6024.920,3386,8521,0.940,1.034,0.967,0.945
143,263,4606.046,3394,5785,0.912,1.176,0.850,0.924
144,274,4051.609,3384,4825,0.800,1.189,0.841,0.915
145,449,4215.341,3382,5361,0.844,1.238,0.808,0.915
146,386,5025.083,3388,6602,0.919,1.218,0.821,0.940
147,429,7138.825,3388,10854,0.884,1.381,0.724,0.940
148,438,4614.041,3389,6428,0.908,1.257,0.796,0.942
149,478,5078.619,3386,6876,0.879,1.211,0.826,0.940
150,319,5597.376,3400,8123,0.925,1.232,0.812,0.933
151,386,4499.360,3399,5721,0.904,1.258,0.795,0.941
152,408,5155.032,3428,6628,0.905,1.105,0.905,0.940
153,321,4952.128,3384,7704,0.898,1.140,0.878,0.943
154,222,3779.149,3387,4477,0.735,1.387,0.721,0.869
155,323,4385.251,3388,5667,0.895,1.067,0.937,0.938
156,299,5128.207,3409,7181,0.896,1.079,0.927,0.937
157,423,4923.678,3447,6154,0.904,1.114,0.897,0.944
158,406,4576.187,3396,6491,0.907,1.106,0.904,0.951
159,278,4213.845,3383,5573,0.812,1.266,0.790,0.919
160,320,5887.100,3383,8536,0.918,1.104,0.906,0.938
161,400,5027.520,3446,6536,0.893,1.249,0.801,0.935
162,491,6061.485,3408,8177,0.892,1.254,0.797,0.941
163,281,4846.964,3384,6320,0.880,1.187,0.842,0.921
164,315,4686.187,3383,6207,0.927,1.155,0.866,0.945
165,370,5580.746,3397,8128,0.916,1.257,0.795,0.940
166,386,5279.070,3411,7286,0.890,1.142,0.876,0.938
167,390,5045.718,3430,6386,0.899,1.110,0.901,0.940
168,404,5412.500,3390,7447,0.905,1.149,0.871,0.935
169,331,4296.952,3393,5566,0.819,1.124,0.889,0.931
